BREADS|NOTES
Hot Dog Buns|763225
Hamburger Buns|763233
Hoagie Buns|227660
Wheat Bread|
White Bread|
Flour Tortillas (small)|
Corn Tortillas (large)|
Corn Tortillas (small)|
Dinner Rolls|633931
|
DAIRY PRODUCTS|NOTES
Coffee Creamer|305723
Cheese (Shredded Mexican)|606952
Cheese (Sliced Swiss)|311405
Cheese (Sliced Cheddar)|164216
Sour Cream|285218
Eggs|273899
Butter Singles|272051
Milk|
Cottage Cheese|220051
Liquid Butter|
|
CONDIMENTS|NOTES
Tartar Sauce|523300
Ketchup|152056
Mustard|860221
Miracle Whip|251066
Baby Ray’s BBQ|655937
Horseradish|
Franks Red Hot Sauce|
Franks Red Coneys Sauce|
Ranch Dressing|
French Dressing|
Italian Dressing|
1000 Island Dressing|
|
SIDES and MISC.|NOTES
Lemons|
Limes|
Drakes Mix|516368
Fryer Oil|838179
French Fries|414601
Tater Tots|324167
Curly Fries|181501
Onion Rings|143641
Breaded Cauliflower|694550
Breaded Mozzarella Cheese Sticks|694580
Breaded Mushrooms|267090
Lettuce|
Onions|
Green Pepper|
Mushrooms|
Pickle Spears|
Popcorn|
Pretzels|
Potato Chips|
Taco Seasoning|427446
3-Bean Salad|329169
Croutons|748500
Bacon bits|357220
Cole Slaw|738158
Whole Potatoes (Lg. Russet)|233285
Mashed Potatoes|
Pasta Salad|
Macaroni Salad|
Potato Salad|
|
ENTRIES|NOTES
Jumbo Shrimp|516001
Walleye|751201
Bluegill|157015
Cod|253375
Perch|
Smelt|
1/3 lb. Homestyle ground beef patties|179020
¼ lb. Chili Dogs|823981
Philly Meat Sliced|353190
Chicken Wings (Bone-in)|821055
Chicken Tenderloins (Breaded)|408540
Chicken Wings (Boneless)|285211
Fish Patties|850203
Hot Dog|
10 lb. Hamburger Roll|158704
|
BEVERAGES|NOTES
A&W Root Beer|
Coke|
Diet Coke|
Pepsi|
Diet Pepsi|
Pepsi (Cherry)|
Vernors|
Diet Vernors|
Sprite|
7-Up|
Diet 7-Up|
Squirt|
Diet Squirt|
Dr Pepper|
Mountain Dew|
Diet Mountain Dew|
Minute Maid Lemonade|
Bottled Water|
|
MIXES and JUICE|NOTES
Bloody Mary Mix|
Club Soda|
Cranberry Juice|302368
Grapefruit Juice|104790
Orange Juice|100617
Tomato Juice|
Tonic Water|
|
DISPOSABLES|NOTES
8.88” Foam Plates|275077
Hi-Ball Drink Straws|748900
Stir Sticks|
Beer Clean Cleaner|420352
Beer Clean Sanitizer|420379
Wax Deli Wraps|166855
Napkins (Dinner 1/8 fold)|632807
Napkins (Drink)|
